term,week,weekly_score,category
little league softball world series,2021-03-07,,sports
little league softball world series,2021-03-14,93,sports
little league softball world series,2021-03-21,,sports
little league softball world series,2021-03-28,,sports
little league softball world series,2021-04-04,120,sports
little league softball world series,2021-04-11,100,sports
little league softball world series,2021-04-18,20,sports
little league softball world series,2021-04-25,,sports
little league softball world series,2021-05-02,107,sports
little league softball world series,2021-05-09,,sports
little league softball world series,2021-05-16,,sports
little league softball world series,2021-05-23,90,sports
little league softball world series,2021-05-30,100,sports
little league softball world series,2021-06-06,,sports
little league softball world series,2021-06-13,300,sports
little league softball world series,2021-06-20,,sports
little league softball world series,2021-06-27,200,sports
little league softball world series,2021-07-04,,sports
little league softball world series,2021-07-11,100,sports
little league softball world series,2021-07-18,,sports
little league softball world series,2021-07-25,,sports
little league softball world series,2021-08-01,,sports
little league softball world series,2021-08-08,72,sports
little league softball world series,2021-08-15,1465,sports
little league softball world series,2021-08-22,,sports
little league softball world series,2021-08-29,145,sports
little league softball world series,2021-09-05,75,sports
little league softball world series,2021-09-12,37,sports
little league softball world series,2021-09-19,85,sports
little league softball world series,2021-09-26,,sports
little league softball world series,2021-10-03,100,sports
little league softball world series,2021-10-10,147,sports
little league softball world series,2021-10-17,,sports
little league softball world series,2021-10-24,85,sports
little league softball world series,2021-10-31,,sports
little league softball world series,2021-11-07,,sports
little league softball world series,2021-11-14,100,sports
little league softball world series,2021-11-21,100,sports
little league softball world series,2021-11-28,,sports
little league softball world series,2021-12-05,,sports
little league softball world series,2021-12-12,97,sports
little league softball world series,2021-12-19,,sports
little league softball world series,2021-12-26,165,sports
little league softball world series,2022-01-02,,sports
little league softball world series,2022-01-09,300,sports
little league softball world series,2022-01-16,,sports
little league softball world series,2022-01-23,100,sports
little league softball world series,2022-01-30,100,sports
little league softball world series,2022-02-06,,sports
little league softball world series,2022-02-13,,sports
little league softball world series,2022-02-20,118,sports
little league softball world series,2022-02-27,106,sports
little league softball world series,2022-03-06,,sports
little league softball world series,2022-03-13,100,sports
little league softball world series,2022-03-20,,sports
little league softball world series,2022-03-27,,sports
little league softball world series,2022-04-03,,sports
little league softball world series,2022-04-10,100,sports
little league softball world series,2022-04-17,,sports
little league softball world series,2022-04-24,,sports
little league softball world series,2022-05-01,85,sports
little league softball world series,2022-05-08,,sports
little league softball world series,2022-05-15,100,sports
little league softball world series,2022-05-22,,sports
little league softball world series,2022-05-29,7,sports
little league softball world series,2022-06-05,,sports
little league softball world series,2022-06-12,157,sports
little league softball world series,2022-06-19,100,sports
little league softball world series,2022-06-26,,sports
little league softball world series,2022-07-03,,sports
little league softball world series,2022-07-10,,sports
little league softball world series,2022-07-17,66,sports
little league softball world series,2022-07-24,109,sports
little league softball world series,2022-07-31,,sports
little league softball world series,2022-08-07,868,sports
little league softball world series,2022-08-14,911,sports
little league softball world series,2022-08-21,112,sports
little league softball world series,2022-08-28,189,sports
little league softball world series,2022-09-04,,sports
little league softball world series,2022-09-11,100,sports
little league softball world series,2022-09-18,,sports
little league softball world series,2022-09-25,79,sports
little league softball world series,2022-10-02,,sports
little league softball world series,2022-10-09,100,sports
little league softball world series,2022-10-16,116,sports
little league softball world series,2022-10-23,76,sports
little league softball world series,2022-10-30,100,sports
little league softball world series,2022-11-06,,sports
little league softball world series,2022-11-13,100,sports
little league softball world series,2022-11-20,97,sports
little league softball world series,2022-11-27,54,sports
little league softball world series,2022-12-04,119,sports
little league softball world series,2022-12-11,91,sports
little league softball world series,2022-12-18,,sports
little league softball world series,2022-12-25,,sports
little league softball world series,2023-01-01,71,sports
little league softball world series,2023-01-08,29,sports
little league softball world series,2023-01-15,100,sports
little league softball world series,2023-01-22,,sports
little league softball world series,2023-01-29,,sports
little league softball world series,2023-02-05,,sports
little league softball world series,2023-02-12,,sports
little league softball world series,2023-02-19,197,sports
little league softball world series,2023-02-26,217,sports
little league softball world series,2023-03-05,,sports
little league softball world series,2023-03-12,,sports
little league softball world series,2023-03-19,200,sports
little league softball world series,2023-03-26,,sports
little league softball world series,2023-04-02,87,sports
little league softball world series,2023-04-09,82,sports
little league softball world series,2023-04-16,93,sports
little league softball world series,2023-04-23,73,sports
little league softball world series,2023-04-30,144,sports
little league softball world series,2023-05-07,300,sports
little league softball world series,2023-05-14,75,sports
little league softball world series,2023-05-21,,sports
little league softball world series,2023-05-28,,sports
little league softball world series,2023-06-04,,sports
little league softball world series,2023-06-11,,sports
little league softball world series,2023-06-18,,sports
little league softball world series,2023-06-25,149,sports
little league softball world series,2023-07-02,73,sports
little league softball world series,2023-07-09,286,sports
little league softball world series,2023-07-16,,sports
little league softball world series,2023-07-23,159,sports
little league softball world series,2023-07-30,121,sports
little league softball world series,2023-08-06,1281,sports
little league softball world series,2023-08-13,321,sports
little league softball world series,2023-08-20,,sports
little league softball world series,2023-08-27,65,sports
little league softball world series,2023-09-03,,sports
little league softball world series,2023-09-10,,sports
little league softball world series,2023-09-17,61,sports
little league softball world series,2023-09-24,,sports
little league softball world series,2023-10-01,,sports
little league softball world series,2023-10-08,,sports
little league softball world series,2023-10-15,142,sports
little league softball world series,2023-10-22,58,sports
little league softball world series,2023-10-29,17,sports
little league softball world series,2023-11-05,100,sports
little league softball world series,2023-11-12,11,sports
little league softball world series,2023-11-19,,sports
little league softball world series,2023-11-26,,sports
little league softball world series,2023-12-03,,sports
little league softball world series,2023-12-10,100,sports
little league softball world series,2023-12-17,91,sports
little league softball world series,2023-12-24,,sports
little league softball world series,2023-12-31,179,sports
little league softball world series,2024-01-07,,sports
little league softball world series,2024-01-14,134,sports
little league softball world series,2024-01-21,68,sports
little league softball world series,2024-01-28,80,sports
little league softball world series,2024-02-04,,sports
little league softball world series,2024-02-11,200,sports
little league softball world series,2024-02-18,,sports
little league softball world series,2024-02-25,142,sports
little league softball world series,2024-03-03,200,sports
little league softball world series,2024-03-10,180,sports
little league softball world series,2024-03-17,,sports
little league softball world series,2024-03-24,,sports
little league softball world series,2024-03-31,,sports
little league softball world series,2024-04-07,18,sports
little league softball world series,2024-04-14,,sports
little league softball world series,2024-04-21,,sports
little league softball world series,2024-04-28,,sports
little league softball world series,2024-05-05,,sports
little league softball world series,2024-05-12,15,sports
little league softball world series,2024-05-19,300,sports
little league softball world series,2024-05-26,,sports
little league softball world series,2024-06-02,,sports
little league softball world series,2024-06-09,187,sports
little league softball world series,2024-06-16,196,sports
little league softball world series,2024-06-23,59,sports
little league softball world series,2024-06-30,261,sports
little league softball world series,2024-07-07,100,sports
little league softball world series,2024-07-14,85,sports
little league softball world series,2024-07-21,204,sports
little league softball world series,2024-07-28,59,sports
little league softball world series,2024-08-04,838,sports
little league softball world series,2024-08-11,181,sports
little league softball world series,2024-08-18,,sports
little league softball world series,2024-08-25,49,sports
little league softball world series,2024-09-01,,sports
little league softball world series,2024-09-08,100,sports
little league softball world series,2024-09-15,100,sports
little league softball world series,2024-09-22,28,sports
little league softball world series,2024-09-29,,sports
little league softball world series,2024-10-06,,sports
little league softball world series,2024-10-13,20,sports
little league softball world series,2024-10-20,100,sports
little league softball world series,2024-10-27,200,sports
little league softball world series,2024-11-03,,sports
little league softball world series,2024-11-10,100,sports
little league softball world series,2024-11-17,,sports
little league softball world series,2024-11-24,,sports
little league softball world series,2024-12-01,97,sports
little league softball world series,2024-12-08,173,sports
little league softball world series,2024-12-15,245,sports
little league softball world series,2024-12-22,200,sports
little league softball world series,2024-12-29,100,sports
little league softball world series,2025-01-05,55,sports
little league softball world series,2025-01-12,100,sports
little league softball world series,2025-01-19,16,sports
little league softball world series,2025-01-26,,sports
little league softball world series,2025-02-02,,sports
little league softball world series,2025-02-09,,sports
little league softball world series,2025-02-16,123,sports
little league softball world series,2025-02-23,,sports
little league softball world series,2025-03-02,,sports
little league softball world series,2025-03-09,,sports
little league softball world series,2025-03-16,79,sports
little league softball world series,2025-03-23,286,sports
little league softball world series,2025-03-30,,sports
little league softball world series,2025-04-06,100,sports
little league softball world series,2025-04-13,100,sports
little league softball world series,2025-04-20,,sports
little league softball world series,2025-04-27,100,sports
little league softball world series,2025-05-04,60,sports
little league softball world series,2025-05-11,,sports
little league softball world series,2025-05-18,71,sports
little league softball world series,2025-05-25,,sports
little league softball world series,2025-06-01,,sports
little league softball world series,2025-06-08,,sports
little league softball world series,2025-06-15,,sports
little league softball world series,2025-06-22,,sports
little league softball world series,2025-06-29,,sports
little league softball world series,2025-07-06,100,sports
little league softball world series,2025-07-13,,sports
little league softball world series,2025-07-20,578,sports
little league softball world series,2025-07-27,1407,sports
little league softball world series,2025-08-03,5761,sports
little league softball world series,2025-08-10,9509,sports
manchester united,2020-08-16,2469,sports
manchester united,2020-08-23,1420,sports
manchester united,2020-08-30,1627,sports
manchester united,2020-09-06,2201,sports
manchester united,2020-09-13,2813,sports
manchester united,2020-09-20,2666,sports
manchester united,2020-09-27,2662,sports
manchester united,2020-10-04,3237,sports
manchester united,2020-10-11,1284,sports
manchester united,2020-10-18,3318,sports
manchester united,2020-10-25,2001,sports
manchester united,2020-11-01,2289,sports
manchester united,2020-11-08,558,sports
manchester united,2020-11-15,884,sports
manchester united,2020-11-22,1182,sports
manchester united,2020-11-29,3002,sports
manchester united,2020-12-06,2360,sports
manchester united,2020-12-13,1368,sports
manchester united,2020-12-20,2953,sports
manchester united,2020-12-27,2456,sports
manchester united,2021-01-03,2642,sports
manchester united,2021-01-10,1990,sports
manchester united,2021-01-17,3597,sports
manchester united,2021-01-24,3628,sports
manchester united,2021-01-31,3488,sports
manchester united,2021-02-07,2094,sports
manchester united,2021-02-14,1785,sports
manchester united,2021-02-21,2050,sports
manchester united,2021-02-28,1738,sports
manchester united,2021-03-07,2429,sports
manchester united,2021-03-14,2365,sports
manchester united,2021-03-21,1181,sports
manchester united,2021-03-28,474,sports
manchester united,2021-04-04,1696,sports
manchester united,2021-04-11,2117,sports
manchester united,2021-04-18,2102,sports
manchester united,2021-04-25,2031,sports
manchester united,2021-05-02,5390,sports
manchester united,2021-05-09,3838,sports
manchester united,2021-05-16,1228,sports
manchester united,2021-05-23,3830,sports
manchester united,2021-05-30,557,sports
manchester united,2021-06-06,526,sports
manchester united,2021-06-13,395,sports
manchester united,2021-06-20,659,sports
manchester united,2021-06-27,687,sports
manchester united,2021-07-04,742,sports
manchester united,2021-07-11,989,sports
manchester united,2021-07-18,1756,sports
manchester united,2021-07-25,1234,sports
manchester united,2021-08-01,1039,sports
manchester united,2021-08-08,2152,sports
manchester united,2021-08-15,1381,sports
manchester united,2021-08-22,6228,sports
manchester united,2021-08-29,6239,sports
manchester united,2021-09-05,7295,sports
manchester united,2021-09-12,6622,sports
manchester united,2021-09-19,8382,sports
manchester united,2021-09-26,6389,sports
manchester united,2021-10-03,1530,sports
manchester united,2021-10-10,2220,sports
manchester united,2021-10-17,4769,sports
manchester united,2021-10-24,10105,sports
manchester united,2021-10-31,7405,sports
manchester united,2021-11-07,1817,sports
manchester united,2021-11-14,3197,sports
manchester united,2021-11-21,6825,sports
manchester united,2021-11-28,8534,sports
manchester united,2021-12-05,7629,sports
manchester united,2021-12-12,2899,sports
manchester united,2021-12-19,1683,sports
manchester united,2021-12-26,5271,sports
manchester united,2022-01-02,2898,sports
manchester united,2022-01-09,3925,sports
manchester united,2022-01-16,3872,sports
manchester united,2022-01-23,1770,sports
manchester united,2022-01-30,3761,sports
manchester united,2022-02-06,3295,sports
manchester united,2022-02-13,3889,sports
manchester united,2022-02-20,8054,sports
manchester united,2022-02-27,2107,sports
manchester united,2022-03-06,7579,sports
manchester united,2022-03-13,6640,sports
manchester united,2022-03-20,950,sports
manchester united,2022-03-27,1793,sports
manchester united,2022-04-03,2122,sports
manchester united,2022-04-10,2754,sports
manchester united,2022-04-17,5972,sports
manchester united,2022-04-24,3608,sports
manchester united,2022-05-01,4585,sports
manchester united,2022-05-08,1733,sports
manchester united,2022-05-15,1323,sports
manchester united,2022-05-22,2017,sports
manchester united,2022-05-29,940,sports
manchester united,2022-06-05,950,sports
manchester united,2022-06-12,1026,sports
manchester united,2022-06-19,1098,sports
manchester united,2022-06-26,1541,sports
manchester united,2022-07-03,1513,sports
manchester united,2022-07-10,3322,sports
manchester united,2022-07-17,3245,sports
manchester united,2022-07-24,3117,sports
manchester united,2022-07-31,3525,sports
manchester united,2022-08-07,7103,sports
manchester united,2022-08-14,6203,sports
manchester united,2022-08-21,10632,sports
manchester united,2022-08-28,6073,sports
manchester united,2022-09-04,8112,sports
manchester united,2022-09-11,3799,sports
manchester united,2022-09-18,1558,sports
manchester united,2022-09-25,1137,sports
manchester united,2022-10-02,5901,sports
manchester united,2022-10-09,5529,sports
manchester united,2022-10-16,6733,sports
manchester united,2022-10-23,3894,sports
manchester united,2022-10-30,5333,sports
manchester united,2022-11-06,4735,sports
manchester united,2022-11-13,2624,sports
manchester united,2022-11-20,2454,sports
manchester united,2022-11-27,1111,sports
manchester united,2022-12-04,1187,sports
manchester united,2022-12-11,741,sports
manchester united,2022-12-18,1720,sports
manchester united,2022-12-25,3280,sports
manchester united,2023-01-01,3609,sports
manchester united,2023-01-08,4940,sports
manchester united,2023-01-15,3766,sports
manchester united,2023-01-22,5870,sports
manchester united,2023-01-29,4539,sports
manchester united,2023-02-05,3873,sports
manchester united,2023-02-12,7943,sports
manchester united,2023-02-19,9192,sports
manchester united,2023-02-26,7896,sports
manchester united,2023-03-05,6554,sports
manchester united,2023-03-12,3906,sports
manchester united,2023-03-19,2910,sports
manchester united,2023-03-26,1073,sports
manchester united,2023-04-02,4139,sports
manchester united,2023-04-09,2836,sports
manchester united,2023-04-16,4231,sports
manchester united,2023-04-23,4508,sports
manchester united,2023-04-30,3067,sports
manchester united,2023-05-07,3284,sports
manchester united,2023-05-14,2319,sports
manchester united,2023-05-21,2931,sports
manchester united,2023-05-28,4956,sports
manchester united,2023-06-04,1666,sports
manchester united,2023-06-11,1870,sports
manchester united,2023-06-18,1706,sports
manchester united,2023-06-25,1595,sports
manchester united,2023-07-02,1902,sports
manchester united,2023-07-09,2246,sports
manchester united,2023-07-16,3544,sports
manchester united,2023-07-23,5571,sports
manchester united,2023-07-30,4079,sports
manchester united,2023-08-06,2860,sports
manchester united,2023-08-13,5109,sports
manchester united,2023-08-20,2532,sports
manchester united,2023-08-27,2254,sports
manchester united,2023-09-03,3298,sports
manchester united,2023-09-10,1796,sports
manchester united,2023-09-17,4046,sports
manchester united,2023-09-24,3121,sports
manchester united,2023-10-01,3327,sports
manchester united,2023-10-08,1375,sports
manchester united,2023-10-15,2116,sports
manchester united,2023-10-22,2592,sports
manchester united,2023-10-29,4967,sports
manchester united,2023-11-05,2962,sports
manchester united,2023-11-12,638,sports
manchester united,2023-11-19,1055,sports
manchester united,2023-11-26,5118,sports
manchester united,2023-12-03,3244,sports
manchester united,2023-12-10,2586,sports
manchester united,2023-12-17,2395,sports
manchester united,2023-12-24,3688,sports
manchester united,2023-12-31,1070,sports
manchester united,2024-01-07,1632,sports
manchester united,2024-01-14,1724,sports
manchester united,2024-01-21,875,sports
manchester united,2024-01-28,2749,sports
manchester united,2024-02-04,1920,sports
manchester united,2024-02-11,1657,sports
manchester united,2024-02-18,2948,sports
manchester united,2024-02-25,1928,sports
manchester united,2024-03-03,2176,sports
manchester united,2024-03-10,903,sports
manchester united,2024-03-17,2721,sports
manchester united,2024-03-24,1240,sports
manchester united,2024-03-31,1944,sports
manchester united,2024-04-07,2244,sports
manchester united,2024-04-14,1302,sports
manchester united,2024-04-21,3852,sports
manchester united,2024-04-28,697,sports
manchester united,2024-05-05,1773,sports
manchester united,2024-05-12,2054,sports
manchester united,2024-05-19,3551,sports
manchester united,2024-05-26,1548,sports
manchester united,2024-06-02,626,sports
manchester united,2024-06-09,657,sports
manchester united,2024-06-16,685,sports
manchester united,2024-06-23,629,sports
manchester united,2024-06-30,854,sports
manchester united,2024-07-07,971,sports
manchester united,2024-07-14,2606,sports
manchester united,2024-07-21,1710,sports
manchester united,2024-07-28,3879,sports
manchester united,2024-08-04,4271,sports
manchester united,2024-08-11,4439,sports
manchester united,2024-08-18,2721,sports
manchester united,2024-08-25,1747,sports
manchester united,2024-09-01,2962,sports
manchester united,2024-09-08,1462,sports
manchester united,2024-09-15,3152,sports
manchester united,2024-09-22,2045,sports
manchester united,2024-09-29,4592,sports
manchester united,2024-10-06,1415,sports
manchester united,2024-10-13,1130,sports
manchester united,2024-10-20,2091,sports
manchester united,2024-10-27,3947,sports
manchester united,2024-11-03,3236,sports
manchester united,2024-11-10,1384,sports
manchester united,2024-11-17,754,sports
manchester united,2024-11-24,3846,sports
manchester united,2024-12-01,3958,sports
manchester united,2024-12-08,1965,sports
manchester united,2024-12-15,5670,sports
manchester united,2024-12-22,2608,sports
manchester united,2024-12-29,1955,sports
manchester united,2025-01-05,2860,sports
manchester united,2025-01-12,4197,sports
manchester united,2025-01-19,3216,sports
manchester united,2025-01-26,3560,sports
manchester united,2025-02-02,3143,sports
manchester united,2025-02-09,884,sports
manchester united,2025-02-16,2761,sports
manchester united,2025-02-23,1773,sports
manchester united,2025-03-02,2997,sports
manchester united,2025-03-09,4134,sports
manchester united,2025-03-16,1563,sports
manchester united,2025-03-23,553,sports
manchester united,2025-03-30,1164,sports
manchester united,2025-04-06,3554,sports
manchester united,2025-04-13,4909,sports
manchester united,2025-04-20,1354,sports
manchester united,2025-04-27,3855,sports
manchester united,2025-05-04,4407,sports
manchester united,2025-05-11,3250,sports
manchester united,2025-05-18,5156,sports
manchester united,2025-05-25,3045,sports
manchester united,2025-06-01,973,sports
manchester united,2025-06-08,932,sports
manchester united,2025-06-15,975,sports
manchester united,2025-06-22,1156,sports
manchester united,2025-06-29,846,sports
manchester united,2025-07-06,1076,sports
manchester united,2025-07-13,2873,sports
manchester united,2025-07-20,6159,sports
manchester united,2025-07-27,9429,sports
manchester united,2025-08-03,7138,sports
mlb draft time,2020-08-16,,sports
mlb draft time,2020-08-23,,sports
mlb draft time,2020-08-30,102,sports
mlb draft time,2020-09-06,200,sports
mlb draft time,2020-09-13,100,sports
mlb draft time,2020-09-20,193,sports
mlb draft time,2020-09-27,90,sports
mlb draft time,2020-10-04,,sports
mlb draft time,2020-10-11,,sports
mlb draft time,2020-10-18,,sports
mlb draft time,2020-10-25,33,sports
mlb draft time,2020-11-01,100,sports
mlb draft time,2020-11-08,100,sports
mlb draft time,2020-11-15,90,sports
mlb draft time,2020-11-22,87,sports
mlb draft time,2020-11-29,,sports
mlb draft time,2020-12-06,,sports
mlb draft time,2020-12-13,,sports
mlb draft time,2020-12-20,100,sports
mlb draft time,2020-12-27,140,sports
mlb draft time,2021-01-03,,sports
mlb draft time,2021-01-10,192,sports
mlb draft time,2021-01-17,300,sports
mlb draft time,2021-01-24,,sports
mlb draft time,2021-01-31,100,sports
mlb draft time,2021-02-07,,sports
mlb draft time,2021-02-14,98,sports
mlb draft time,2021-02-21,,sports
mlb draft time,2021-02-28,116,sports
mlb draft time,2021-03-07,252,sports
mlb draft time,2021-03-14,,sports
mlb draft time,2021-03-21,200,sports
mlb draft time,2021-03-28,,sports
mlb draft time,2021-04-04,,sports
mlb draft time,2021-04-11,,sports
mlb draft time,2021-04-18,,sports
mlb draft time,2021-04-25,100,sports
mlb draft time,2021-05-02,,sports
mlb draft time,2021-05-09,,sports
mlb draft time,2021-05-16,181,sports
mlb draft time,2021-05-23,200,sports
mlb draft time,2021-05-30,13,sports
mlb draft time,2021-06-06,170,sports
mlb draft time,2021-06-13,100,sports
mlb draft time,2021-06-20,67,sports
mlb draft time,2021-06-27,100,sports
mlb draft time,2021-07-04,,sports
mlb draft time,2021-07-11,28,sports
mlb draft time,2021-07-18,,sports
mlb draft time,2021-07-25,,sports
mlb draft time,2021-08-01,,sports
mlb draft time,2021-08-08,,sports
mlb draft time,2021-08-15,,sports
mlb draft time,2021-08-22,124,sports
mlb draft time,2021-08-29,,sports
mlb draft time,2021-09-05,80,sports
mlb draft time,2021-09-12,,sports
mlb draft time,2021-09-19,,sports
mlb draft time,2021-09-26,100,sports
mlb draft time,2021-10-03,200,sports
mlb draft time,2021-10-10,100,sports
mlb draft time,2021-10-17,200,sports
mlb draft time,2021-10-24,100,sports
mlb draft time,2021-10-31,100,sports
mlb draft time,2021-11-07,91,sports
mlb draft time,2021-11-14,273,sports
mlb draft time,2021-11-21,300,sports
mlb draft time,2021-11-28,133,sports
mlb draft time,2021-12-05,100,sports
mlb draft time,2021-12-12,100,sports
mlb draft time,2021-12-19,200,sports
mlb draft time,2021-12-26,,sports
mlb draft time,2022-01-02,100,sports
mlb draft time,2022-01-09,,sports
mlb draft time,2022-01-16,,sports
mlb draft time,2022-01-23,200,sports
mlb draft time,2022-01-30,100,sports
mlb draft time,2022-02-06,,sports
mlb draft time,2022-02-13,100,sports
mlb draft time,2022-02-20,63,sports
mlb draft time,2022-02-27,,sports
mlb draft time,2022-03-06,78,sports
mlb draft time,2022-03-13,,sports
mlb draft time,2022-03-20,,sports
mlb draft time,2022-03-27,300,sports
mlb draft time,2022-04-03,125,sports
mlb draft time,2022-04-10,162,sports
mlb draft time,2022-04-17,,sports
mlb draft time,2022-04-24,,sports
mlb draft time,2022-05-01,116,sports
mlb draft time,2022-05-08,,sports
mlb draft time,2022-05-15,100,sports
mlb draft time,2022-05-22,,sports
mlb draft time,2022-05-29,,sports
mlb draft time,2022-06-05,294,sports
mlb draft time,2022-06-12,95,sports
mlb draft time,2022-06-19,,sports
mlb draft time,2022-06-26,,sports
mlb draft time,2022-07-03,79,sports
mlb draft time,2022-07-10,,sports
mlb draft time,2022-07-17,72,sports
mlb draft time,2022-07-24,159,sports
mlb draft time,2022-07-31,100,sports
mlb draft time,2022-08-07,,sports
mlb draft time,2022-08-14,151,sports
mlb draft time,2022-08-21,,sports
mlb draft time,2022-08-28,,sports
mlb draft time,2022-09-04,79,sports
mlb draft time,2022-09-11,,sports
mlb draft time,2022-09-18,219,sports
mlb draft time,2022-09-25,,sports
mlb draft time,2022-10-02,,sports
mlb draft time,2022-10-09,71,sports
mlb draft time,2022-10-16,,sports
mlb draft time,2022-10-23,100,sports
mlb draft time,2022-10-30,200,sports
mlb draft time,2022-11-06,114,sports
mlb draft time,2022-11-13,,sports
mlb draft time,2022-11-20,,sports
mlb draft time,2022-11-27,99,sports
mlb draft time,2022-12-04,,sports
mlb draft time,2022-12-11,83,sports
mlb draft time,2022-12-18,200,sports
mlb draft time,2022-12-25,,sports
mlb draft time,2023-01-01,,sports
mlb draft time,2023-01-08,91,sports
mlb draft time,2023-01-15,200,sports
mlb draft time,2023-01-22,100,sports
mlb draft time,2023-01-29,48,sports
mlb draft time,2023-02-05,,sports
mlb draft time,2023-02-12,,sports
mlb draft time,2023-02-19,162,sports
mlb draft time,2023-02-26,,sports
mlb draft time,2023-03-05,100,sports
mlb draft time,2023-03-12,81,sports
mlb draft time,2023-03-19,,sports
mlb draft time,2023-03-26,47,sports
mlb draft time,2023-04-02,71,sports
mlb draft time,2023-04-09,,sports
mlb draft time,2023-04-16,72,sports
mlb draft time,2023-04-23,,sports
mlb draft time,2023-04-30,181,sports
mlb draft time,2023-05-07,,sports
mlb draft time,2023-05-14,,sports
mlb draft time,2023-05-21,96,sports
mlb draft time,2023-05-28,,sports
mlb draft time,2023-06-04,,sports
mlb draft time,2023-06-11,,sports
mlb draft time,2023-06-18,,sports
mlb draft time,2023-06-25,67,sports
mlb draft time,2023-07-02,,sports
mlb draft time,2023-07-09,238,sports
mlb draft time,2023-07-16,73,sports
mlb draft time,2023-07-23,,sports
mlb draft time,2023-07-30,85,sports
mlb draft time,2023-08-06,88,sports
mlb draft time,2023-08-13,100,sports
mlb draft time,2023-08-20,,sports
mlb draft time,2023-08-27,,sports
mlb draft time,2023-09-03,96,sports
mlb draft time,2023-09-10,187,sports
mlb draft time,2023-09-17,,sports
mlb draft time,2023-09-24,,sports
mlb draft time,2023-10-01,,sports
mlb draft time,2023-10-08,,sports
mlb draft time,2023-10-15,,sports
mlb draft time,2023-10-22,,sports
mlb draft time,2023-10-29,92,sports
mlb draft time,2023-11-05,,sports
mlb draft time,2023-11-12,83,sports
mlb draft time,2023-11-19,,sports
mlb draft time,2023-11-26,,sports
mlb draft time,2023-12-03,56,sports
mlb draft time,2023-12-10,,sports
mlb draft time,2023-12-17,,sports
mlb draft time,2023-12-24,93,sports
mlb draft time,2023-12-31,,sports
mlb draft time,2024-01-07,100,sports
mlb draft time,2024-01-14,,sports
mlb draft time,2024-01-21,,sports
mlb draft time,2024-01-28,,sports
mlb draft time,2024-02-04,88,sports
mlb draft time,2024-02-11,,sports
mlb draft time,2024-02-18,,sports
mlb draft time,2024-02-25,55,sports
mlb draft time,2024-03-03,,sports
mlb draft time,2024-03-10,72,sports
mlb draft time,2024-03-17,,sports
mlb draft time,2024-03-24,200,sports
mlb draft time,2024-03-31,100,sports
mlb draft time,2024-04-07,,sports
mlb draft time,2024-04-14,,sports
mlb draft time,2024-04-21,100,sports
mlb draft time,2024-04-28,300,sports
mlb draft time,2024-05-05,100,sports
mlb draft time,2024-05-12,82,sports
mlb draft time,2024-05-19,195,sports
mlb draft time,2024-05-26,100,sports
mlb draft time,2024-06-02,231,sports
mlb draft time,2024-06-09,200,sports
mlb draft time,2024-06-16,,sports
mlb draft time,2024-06-23,,sports
mlb draft time,2024-06-30,,sports
mlb draft time,2024-07-07,,sports
mlb draft time,2024-07-14,263,sports
mlb draft time,2024-07-21,,sports
mlb draft time,2024-07-28,,sports
mlb draft time,2024-08-04,,sports
mlb draft time,2024-08-11,,sports
mlb draft time,2024-08-18,76,sports
mlb draft time,2024-08-25,,sports
mlb draft time,2024-09-01,,sports
mlb draft time,2024-09-08,200,sports
mlb draft time,2024-09-15,,sports
mlb draft time,2024-09-22,,sports
mlb draft time,2024-09-29,185,sports
mlb draft time,2024-10-06,,sports
mlb draft time,2024-10-13,,sports
mlb draft time,2024-10-20,200,sports
mlb draft time,2024-10-27,199,sports
mlb draft time,2024-11-03,,sports
mlb draft time,2024-11-10,52,sports
mlb draft time,2024-11-17,100,sports
mlb draft time,2024-11-24,100,sports
mlb draft time,2024-12-01,,sports
mlb draft time,2024-12-08,,sports
mlb draft time,2024-12-15,181,sports
mlb draft time,2024-12-22,100,sports
mlb draft time,2024-12-29,,sports
mlb draft time,2025-01-05,100,sports
mlb draft time,2025-01-12,,sports
mlb draft time,2025-01-19,51,sports
mlb draft time,2025-01-26,13,sports
mlb draft time,2025-02-02,,sports
mlb draft time,2025-02-09,82,sports
mlb draft time,2025-02-16,,sports
mlb draft time,2025-02-23,,sports
mlb draft time,2025-03-02,,sports
mlb draft time,2025-03-09,200,sports
mlb draft time,2025-03-16,,sports
mlb draft time,2025-03-23,82,sports
mlb draft time,2025-03-30,,sports
mlb draft time,2025-04-06,,sports
mlb draft time,2025-04-13,93,sports
mlb draft time,2025-04-20,,sports
mlb draft time,2025-04-27,100,sports
mlb draft time,2025-05-04,,sports
mlb draft time,2025-05-11,,sports
mlb draft time,2025-05-18,100,sports
mlb draft time,2025-05-25,,sports
mlb draft time,2025-06-01,185,sports
mlb draft time,2025-06-08,,sports
mlb draft time,2025-06-15,,sports
mlb draft time,2025-06-22,,sports
mlb draft time,2025-06-29,220,sports
mlb draft time,2025-07-06,29,sports
mlb draft time,2025-07-13,6404,sports
mlb trade deadline,2020-08-16,108,sports
mlb trade deadline,2020-08-23,84,sports
mlb trade deadline,2020-08-30,1001,sports
mlb trade deadline,2020-09-06,,sports
mlb trade deadline,2020-09-13,,sports
mlb trade deadline,2020-09-20,,sports
mlb trade deadline,2020-09-27,,sports
mlb trade deadline,2020-10-04,,sports
mlb trade deadline,2020-10-11,,sports
mlb trade deadline,2020-10-18,,sports
mlb trade deadline,2020-10-25,100,sports
mlb trade deadline,2020-11-01,63,sports
mlb trade deadline,2020-11-08,100,sports
